acidofilus	acidofilus-
retshjælp	retshjælps-
retspleje	retspleje-
rettergang	rettergangs-
rigspoliti	rigspoliti-
rismel	rismels-
rismælk	rismælks-
rispapir	rispapir- el. rispapirs-
roaming	roaming-
rokoko	rokoko-
rucola	rucola-
rugby	rugby-
rugmel	rugmels-
rulam	rulams-
rumfart	rumfarts-
rumforskning	rumforsknings-
rumskøds	rumskøds-
rundbold	rundbold-
rygmarv	rygmarvs-
rødkridt	rødkridts-
rørpost	rørpost-
rådighed	rådigheds-
råjord	råjords-
råmælk	råmælks-
saftevand	saftevands-
sagprosa	sagprosa-
sake	sake-
salep	salep-
salmiak	salmiak-
salmonella	salmonella-
salpeter	salpeter-
salsa	salsa-
saltvand	saltvands-
samdrift	samdrifts-
sameje	sameje-
samfærdsel	samfærdsels-
samhandel	samhandels-
samhør	samhørs-
samkvem	samkvems-
sampak	sampak-
samtid	samtids-
sandpapir	sandpapir-
sandsten	sandstens-
sangskrivning	sangskrivnings-
sanitet	sanitets-
sankthans	sankthans-
sanskrit	sanskrit-
savsmuld	savsmulds-
scrabble	scrabble-
secondhand	secondhand-
security	security-
segregation	segregations-
sejldug	sejldugs-
sejlgarn	sejlgarns-
sejlsport	sejlsports-
seksualisering	seksualiserings-
sektorforskning	sektorforsknings-
sekunda	sekunda-
selektivitet	selektivitets-
selen	selen-
selvforsvar	selvforsvars-
selvhjælp	selvhjælps-
selvhævdelse	selvhævdelses-
selvtægt	selvtægts-
selvværd	selvværds-
semulje	semulje-
sengetøj	sengetøjs-
senilitet	senilitets-
sennes	sennes-
sensitivitet	sensitivitets-
separat	separat-
serotonin	serotonin-
sex	sex-
shareware	shareware-
sharia	sharia-
shiatsu	shiatsu-
shipping	shipping-
shopping	shopping-
shortpassing	shortpassing-
shorts	shorts-
sightseeing	sightseeing-
signifikans	signifikans-
siksak	siksak-
silicium	silicium-
simili	simili-
simpleks	simpleks-
sintring	sintrings-
sinus	sinus-
sisal	sisal-
sjette	sjette-
skarlagen	skarlagen- el. skarlagens-
skatteret	skatterets-
skibsfart	skibsfarts-
skiffle	skiffle-
skinkekød	skinkekød- el. skinkekøds-
skisport	skisports-
skoldkopper	skoldkoppe-
skolemad	skolemads-
skolemælk	skolemælks-
skotøj	skotøjs-
skrivefærdighed	skrivefærdigheds-
skræk	skræk-
skum	skum-
skummetmælk	skummetmælks-
skyld	skyld-
skæmt	skæmte-
skærsommer	skærsommer-
skønskrift	skønskrift- el. skønskrifts-
skørbug	skørbugs-
sladder	sladder-
slagspil	slagspils-
slagtekvæg	slagtekvægs-
slagtøj	slagtøjs-
slalom	slalom-
slam	slam-
slapstick	slapstick-
slim	slim-
slowfood	slowfood-
slowmotion	slowmotion-
slud	slud-
sløjd	sløjd-
slåen	slåen-
smedejern	smedejerns-
smeltevand	smeltevands-
smog	smog-
smuds	smuds-
smør	smør-
småvildt	småvildt-
snavsetøj	snavsetøjs-
snevejr	snevejrs-
snooker	snooker-
snot	snot-
snowboarding	snowboarding-
socialhjælp	socialhjælps-
socialisation	socialisations-
software	software-
soja	soja-
sojamælk	sojamælks-
solbriller	solbrille-
solenergi	solenergi-
solhverv	solhvervs-
solidaritet	solidaritets-
soliditet	soliditets-
solskin	solskins-
solvarme	solvarme-
sommerregn	sommerregns-
sommervejr	sommervejrs-
sonoritet	sonoritets-
sortkridt	sortkridts-
soul	soul-
spanking	spanking-
spansk	spansk-
spearmint	spearmint-
spelt	spelt-
spildevand	spildevands-
spinal	spinal-
spinat	spinat-
spinoff	spinoff-
sport	sports-
sporveje	sporvejs-
sprit	sprit-
sprogrigtighed	sprogrigtigheds-
sprogrøgt	sprogrøgts-
sprogtilegnelse	sprogtilegnelses-
stabilitet	stabilitets-
standup	standup-
stanniol	stanniol-
statsborgerret	statsborgerrets-
statsgæld	statsgælds-
statskundskab	statskundskabs-
statsråd	statsråds-
stavgang	stavgangs-
stearin	stearin-
stellar	stellar-
stemmeret	stemmerets-
stemmespild	stemmespilds-
stenalder	stenalder-
stentøj	stentøjs-
stenuld	stenulds-
sterilitet	sterilitets-
sterling	sterling-
still	still-
stilstand	stilstands-
stivkrampe	stivkrampe-
stockcar	stockcar-
stofskifte	stofskifte-
stordrift	stordrifts-
stormvejr	stormvejrs-
storskrald	storskralds-
storvildt	storvildt-
strafferet	strafferets-
stramaj	stramaj-
stress	stress-
strontium	strontium-
strygetøj	strygetøjs-
stryknin	stryknin-
stuk	stuk-
stykgods	stykgods-
styrkeløft	styrkeløft-
styrketræning	styrketrænings-
stærkstrøm	stærkstrøms-
støbejern	støbejerns-
ståltråd	ståltråds-
ståluld	stålulds-
subsistens	subsistens-
sul	sule-
sult	sult-
sundhed	sundheds-
supervision	supervisions-
surbund	surbunds-
surmælk	surmælks-
surroundsound	surroundsound-
sushi	sushi-
suspense	suspense-
suverænitet	suverænitets-
svagstrøm	svagstrøms-
svagsyn	svagsyns-
svindel	svindel-
svineavl	svineavls-
svinekød	svinekød- el. svinekøds-
svinepest	svinepest-
svovl	svovl-
sværvægt	sværvægts-
syfilis	syfilis-
sygesikring	sygesikrings-
syld	syld-
synkron	synkron-
systemeksport	systemeksport-
sødmælk	sødmælks-
søfart	søfarts-
sølv	sølv-
sølvplet	sølvplet-
sølvtøj	sølvtøjs-
søskende	søskende-
søsport	søsports-
søvn	søvn-
taekwondo	taekwondo-
taletid	taletids-
tandkød	tandkøds-
tangential	tangential-
tapioka	tapioka-
tavshed	tavsheds-
teambuilding	teambuilding-
techno	techno-
teflon	teflon-
telemarketing	telemarketing-
teltdug	teltdugs-
tempera	tempera-
tennis	tennis-
terrazzo	terrazzo-
terre	terre-
territorial	territorial-
terror	terror-
terylene	terylene-
testimonial	testimonial-
thrash	thrash-
tidløn	tidløns-
tilblivelse	tilblivelses-
tilgift	tilgifts-
tilhør	tilhørs-
tilhørighed	tilhørigheds-
tillid	tillids-
tillæring	tillærings-
tilstedeværelse	tilstedeværelses-
tiltrækning	tiltræknings-
timeløn	timeløns-
timeshare	timeshare-
tin	tin-
tingsliggørelse	tingsliggørelses-
titanium	titanium-
tivolisering	tivoliserings-
tokomponent	tokomponent-
tomgang	tomgangs-
topti	topti-
toptyve	toptyve-
torskerogn	torskerogns-
tovværk	tovværks-
travsport	travsports-
treenighed	treenigheds-
trevejs	trevejs-
trivsel	trivsels-
trolddom	trolddoms-
tronfølge	tronfølge-
troskab	troskabs-
tryghed	trygheds-
trykluft	trykluft- el. tryklufts-
trældom	trældoms-
trøst	trøst-
tuberkulin	tuberkulin-
tungtvand	tungtvands-
tvebo	tvebo-
tween	tween-
twill	twill-
tykmælk	tykmælks-
tørmælk	tørmælks-
tørvejr	tørvejrs-
tålmodighed	tålmodigheds-
uafhængighed	uafhængigheds-
ubehag	ubehags-
udeliv	udelivs-
udendørs	udendørs-
udenoms	udenoms-
udholdenhed	udholdenheds-
udkomst	udkomst-
udlyd	udlyds-
udlændighed	udlændigheds-
ufred	ufreds-
ugeløn	ugeløns-
ukrudt	ukrudts-
underbemanding	underbemandings-
undercover	undercover-
undergrund	undergrunds-
underhold	underholds-
underlegenhed	underlegenheds-
undermål	undermåls-
undertal	undertals-
undertøj	undertøjs-
ungdom	ungdoms-
urinsyre	urinsyre-
urinveje	urinvejs-
urtid	urtids-
urørlighed	urørligheds-
uskyld	uskylds-
utugt	utugts-
utøj	utøjs-
uvejr	uvejrs-
vadmel	vadmels-
valgret	valgrets-
vandel	vandels-
vandkraft	vandkraft-
vandsport	vandsports-
vanfør	vanføre-
vanilje	vanilje-
vanvid	vanvids-
varetægt	varetægts-
varmluft	varmluft- el. varmlufts-
varmtvand	varmtvands-
vasketøj	vasketøjs-
velfærd	velfærds-
velgørenhed	velgørenheds-
velmagt	velmagts-
velour	velour-
velstand	velstands-
vemod	vemods-
ventetøj	ventetøjs-
verdensarv	verdensarvs-
verfremdung	verfremdungs-
vievand	vievands-
vikingetid	vikingetids-
vildt	vildt-
vildtpleje	vildtpleje-
vindkraft	vindkraft-
vinsten	vinstens-
vinterregn	vinterregns-
vintersport	vintersports-
vintersæd	vintersæds-
vinånd	vinånds-
visdom	visdoms-
viskose	viskose-
voksdug	voksdugs-
voksenundervisning	voksenundervisnings-
volleyball	volleyball-
voodoo	voodoo-
vrede	vredes-
vuggedød	vuggedøds-
væren	værens-
værnemagt	værnemagts-
værnepligt	værnepligts-
våbenhjælp	våbenhjælps-
våbenstilstand	våbenstilstands-
wasabi	wasabi-
web	web-
