bunkevis	 itk. d.s. el. -t, -e
bureaukratisk	 itk. d.s., -e 
burgundisk	 itk. d.s., -e 
burkinsk	 itk. d.s., -e 
burlesk	 itk. d.s., -e 
burmansk	 itk. d.s., -e 
burmesisk	 itk. d.s., -e 
burundisk	 itk. d.s., -e 
buskagtig	 -t, -e
but	 -te 
butsnudet	 butsnudede 
buttet	 buttede 
bygbar	 -t, -e
byget	 bygede
bygetæt	 -te
byggeteknisk	 itk. d.s., -e
bygningsteknisk	 itk. d.s., -e
bymæssig	 -t, -e
bynær	 -t, -e
byrdefuld	 -t, -e
byzantinsk	 itk. d.s., -e 
byøkologisk	 itk. d.s., -e
bælgøjet	 bælgøjede 
bæltedreven	 bæltedrevet, bæltedrevne
bærbar	 -t, -e
bæredygtig	 -t, -e
bærekraftig	 -t, -e
bøhmisk	 itk. d.s., -e 
bøjelig	 -t, -e
bølget	 bølgede
bøllet	 bøllede
bønlig	 -t, -e 
børnefjendsk	 itk. d.s. el. -t, -e
børnefjendtlig	 -t, -e
børneglad	 itk. d.s., -e 
børnepsykiatrisk	 itk. d.s., -e
børnepsykologisk	 itk. d.s., -e
børnerig	 -t, -e
børnevenlig	 -t, -e
børsnoteret	 børsnoterede
børsteformet	 børsteformede
bøvet	 bøvede
bøvl	 -et
bådformet	 bådformede
californisk	 itk. d.s., -e
calvinistisk	 itk. d.s., -e 
calvinsk	 itk. d.s., -e 
cambodiansk	 itk. d.s., -e
cambodjansk	 itk. d.s., -e
camerounsk	 itk. d.s., -e
camouflagemalet	 camouflagemalede
campet	 campede 
canadisk	 itk. d.s., -e
cancerogen	 -t, -e 
caribisk	 itk. d.s., -e
cariøs	 -t, -e 
castiliansk	 itk. d.s., -e 
catalonsk	 itk. d.s., -e 
celeber	 -t, celebre 
cellulær	 -t, -e 
centnertung	 -t, -e 
centralafrikansk	 itk. d.s., -e
centralamerikansk	 itk. d.s., -e
centralasiatisk	 itk. d.s., -e
centraleuropæisk	 itk. d.s., -e
centralistisk	 itk. d.s., -e 
centralstyre	 -t, -r, -rne
centrifugal	 -t, -e, 
centripetal	 -t, -e , 
cerebral	 -t, -e 
ceriserød	 -t, -e 
ceylonesisk	 itk. d.s., -e 
champagnefarvet	 champagnefarvede
chanceløs	 -t, -e 
charmant	 -e 
charmeforladt	 -e
chartreusefarvet	 chartreusefarvede 
chauvinistisk	 itk. d.s., -e
chevaleresk	 itk. d.s., -e 
chik	 -t, -ke 
chikanøs	 -t, -e 
chilensk	 itk. d.s., -e 
cimbrisk	 itk. d.s., -e 
cinnoberrød	 -t, -e
cirkelrund	 -t, -e
cirkumpolar	 -t, -e 
citerbar	 -t, -e
citrongul	 -t, -e
civil	 -t, -e, 
civilisatorisk	 itk. d.s., -e 
civilisere	 -r, -de, -t
civilklædt	 -e
civilretlig	 -t, -e 
