aftersun	 
aftjekning	 -en, -er, -erne
aftjening	 -en, -er, -erne
aftrapning	 -en, -er, -erne
aftryk	 -ket, aftryk, -kene
aftrykning	 -en, -er, -erne
aftrædelse	 -n , 
aftrædning	 -en 
aftræk	 -ket, aftræk, -kene
aftrækker	 -en, -e, -ne
aftvingelse	 -n, -r, -rne
aftægt	 -en , 
aftørring	 -en, -er, -erne
afvalmning	 -en, -er, -erne
afvanding	 -en, -er, -erne
afvandring	 -en, -er, -erne
afvarsling	 -en, -er, -erne
afvaskning	 -en, -er, -erne
afvejning	 -en, -er, -erne
afveksling	 -en, -er, -erne
afvendelse	 -n
afventning	 -en
afvige	 -r, afveg, afveget
afvigelse	 -n, -r, -rne
afvikle	 -r, -de, -t
afvikling	 -en, -er, -erne
afvisersten	 -en, afvisersten, -ene 
afvisning	 -en, -er, -erne
afvæbning	 -en, -er, -erne
afvænning	 -en, -er, -erne
afværgedagsorden	 -en, afværgedagsordner, afværgedagsordnerne 
afværgelse	 -n, -r, -rne
afværgemanøvre	 -n, -r, -rne
afæskning	 -en, -er, -erne
agape	 -n 
agat	 -en, -er, -erne 
agave	 -n, -r, -rne 
age	 -r, -de, -t 
agenda	 -en, -er, -erne agens	 -en, -er, -erne 
agent	 -en, -er, -erne
agentur	 -et, -er, -erne
ager	 -en, agre, agrene agerbrug	 -et, agerbrug, -ene 
agerbruger	 -en, -e, -ne
agerdyrker	 -en, -e, -ne
agerdyrkning	 -en 
agerhøne	 -n, agerhøns, agerhønsene 
agerkål	 -en, agerkål, -ene 
agerland	 -et 
agermåne	 -n, -r, -rne 
agern	 -et, agern, -ene 
agerren	 -en, -e el. -er, -ene el. -erne 
agersennep	 -pen, -per, -perne 
agersnegl	 -en, -e, -ene
agersnerle	 -n, -r, -rne
agertidsel	 agertidslen, agertidsler, agertidslerne
agglomerat	 -et, -er, -erne 
agglutination	 -en, -er, -erne
agglutinering	 -en, -er, -erne
aggravation	 -en, -er, -erne
aggravering	 -en, -er, -erne
aggregat	 -et, -er, -erne 
aggregering	 -en, -er, -erne
aggression	 -en, -er, -erne 
aggressivitet	 -en
aggressor	 -en, -er, -erne agilitet	 -en 
agility	 
agio	 -en , 
agitation	 -en, -er, -erne 
agitator	 -en, -er, -erne 
agn	 -en, agn, -ene 
agnat	 -en, -er, -erne 
agnfisk	 -en, agnfisk, -ene 
agnosticisme	 -n 
agnostiker	 -en, -e, -ne 
agoni	 -en 
agora	 -en, -er, -erne 
agorafobi	 -en 
agrarpolitik	 -ken
agrarøkonom	 -en, -er, -erne
agrikultur	 -en, -er, -erne 
agronom	 -en, -er, -erne 
agronomi	 -en 
agtelse	 -n 
