bortvise	 -r, bortviste, bortvist
bortvælge	 -r, bortvalgte, bortvalgt 
bortødsle	 -r, -de, -t
bosætte	 -r, bosatte, bosat
bosse	 -r, -de, -t
botanisere	 -r, -de, -t 
boykotte	 -r, -de, -t
brage	 -r, -de, -t
brainstorm	 -en, -e, -ene
braisere	 -r, -de, -t 
braklægge	 -r, braklagde, braklagt
bralre	 -r, -de, -t
bramme	 -r, -de, -t brandbeskatte	 -r, -de, -t 
brandsikker	 -t, brandsikre
brandskatte	 -r, -de, -t 
branke	 -r, -de, -t 
brevveksle	 -r, -de, -t
briefe	 -r, -de, -t 
brillere	 -r, -de, -t
brinte	 -r, -de, -t 
briste	 -r, -de el. brast, bristet
broadcaste	 -r, -de, -t
brodere	 -r, -de, -t
brolægge	 -r, brolagde, brolagt 
bronkoskopere	 -r, -de, -t 
bronzere	 -r, -de, -t 
brovte	 -r, -de, -t 
brugerfinansiere	 -r, -de, -t
brumme	 -r, -de, -t
brune	 -r, -de, -t
brunere	 -r, -de, -t 
bruse	 -r, -de el. bruste, -t el. brust
brutalisere	 -r, -de, -t
brydes	 brydes, brødes, har brødes 
bryste	 -r, -de, -t
bræge	 -r, -de, -t
brække	 -r, -de, -t
brætte	 -r, -de, -t
brødføde	 -r, brødfødte, brødfødt
budgettere	 -r, -de, -t
byde	 -r, bød, budt
bugne	 -r, -de, -t
bugsere	 -r, -de, -t
buhe	 -r, -de, -t 
bukke	 -r, -de, -t
bukle	 -r, -de, -t 
bulderkoge	 -r, bulderkogte, bulderkogt 
buldre	 -r, -de, -t
bulldoze	 -r, -de, -t
bullen	 -t, bulne
bumle	 -r, -de, -t
bumpe	 -r, -de, -t
bunde	 -r, -de, -t
bundfryse	 -r, bundfrøs, bundfrosset 
bundfælde	 -r, -de, -t
bundte	 -r, -de, -t
bunkre	 -r, -de, -t 
bure	 -r, -de, -t
burde	 bør, burde, har burdet
bureaukratisere	 -r, -de, -t 
buse	 -r, -de, -t
buske	 -r, -de, -t 
byforny	 byfornyr, byfornyede, byfornyet
bygge	 -r, -de, -t
byggemoden	 -t, byggemodne 
bylte	 -r, -de, -t 
bælg	 -en, -e, -ene 
bælle	 -r, -de, -t
bænke	 -r, -de, -t
bære	 -r, bar, båret 
bævre	 -r, -de, -t
bøffe	 -r, -de, -t
bønfalde	 -r, bønfaldt, bønfaldet
bønhøre	 -r, bønhørte, bønhørt 
børnesikker	 -t, børnesikre
bøvle	 -r, -de, -t
bøvs	 -en  el. -et , -e el. -er el. bøvs, -ene el. -erne
bånde	 -r, -de, -t 
båndlægge	 -r, båndlagde, båndlagt
båndoptage	 -r, båndoptog, båndoptaget 
båse	 -r, -de, -t 
båtte	 -r, -de, -t
camouflere	 -r, -de, -t
campere	 -r, -de, -t
caste	 -r, -de, -t 
causere	 -r, -de, -t 
celebrere	 -r, -de, -t 
cementere	 -r, -de, -t 
censurere	 -r, -de, -t
centralisere	 -r, -de, -t
centrere	 -r, -de, -t 
centrifugere	 -r, -de, -t
certificere	 -r, -de, -t 
changere	 -r, -de, -t
chaptalisere	 -r, -de, -t 
chargere	 -r, -de, -t 
charmere	 -r, -de, -t
charter	 chartret, chartre, chartrene 
chassere	 -r, -de, -t 
chifrere	 -r, -de, -t 
chikanere	 -r, -de, -t 
choker	 -en, -e, -ne 
chokstarte	 -r, -de, -t
cirkle	 -r, -de, -t
cirkulere	 -r, -de, -t
ciselere	 -r, -de, -t 
citer	 -en, citre, -ne el. citrene 
cleare	 -r, -de, -t 
clinche	 -r, -de, -t 
clipse	 -r, -de, -t
coache	 -r, -de, -t coate	 -r, -de, -t 
committe	 -r, -de, -t
computerisere	 -r, -de, -t
containerisere	 -r, -de, -t 
crawle	 -r, -de, -t 
crosse	 -r, -de, -t
crowdsource	 -r, -de, -t 
crowdsurfe	 -r, -de, -t 
cykle	 -r, -de, -t
dadle	 -r, -de, -t 
dagdrøm	 -men, -me, -mene
dages	 dages, dagedes, har dagedes
dale	 -r, -de, -t
dalre	 -r, -de, -t
damascere	 -r, -de, -t
dampkoge	 -r, dampkogte, dampkogt
damprense	 -r, -de, -t
dandere	 -r, -de, -t 
danisere	 -r, -de, -t 
dase	 -r, -de, -t
daske	 -r, -de, -t
databehandle	 -r, -de, -t
datamatisere	 -r, -de, -t
datere	 -r, -de, -t
datomærke	 -r, -de, -t
deaktivere	 -r, -de, -t
debattere	 -r, -de, -t
debitere	 -r, -de, -t
debriefe	 -r, -de, -t 
debutere	 -r, -de, -t
decelerere	 -r, -de, -t 
decentralisere	 -r, -de, -t
dechifrere	 -r, -de, -t 
decimere	 -r, -de, -t 
dedicere	 -r, -de, -t 
deducere	 -r, -de, -t 
deeskalere	 -r, -de, -t 
defilere	 -r, -de, -t
definere	 -r, -de, -t
deflorere	 -r, -de, -t 
deformere	 -r, -de, -t 
degenerere	 -r, -de, -t
degradere	 -r, -de, -t 
